model,query,predicted_complexity,confidence,domain,reason,ground_truth_complexity,is_correct
gemma3:1b,What is the capital of France?,SIMPLE,0.95,GENERAL,The capital of France is Paris.,SIMPLE,True
gemma3:1b,Explain ship classification and statutory regulation,COMPLEX,0.9,TECHNICAL,"The query asks for a detailed explanation of ship classification and related statutory regulations, requiring in-depth knowledge and analysis. It involves complex legal frameworks and technical details.",COMPLEX,True
gemma3:1b,How does compound interest work?,SIMPLE,0.9,GENERAL,The query asks for a basic explanation of compound interest. It doesn't require specialized knowledge or complex reasoning.,SIMPLE,True
gemma3:1b,What are the symptoms of diabetes?,SIMPLE,0.9,GENERAL,"The query asks for the symptoms of diabetes, which is a general medical topic. It doesn't require specialized knowledge or complex reasoning.",SIMPLE,True
gemma3:1b,Solve the equation x^2 - 4x + 4 = 0,SIMPLE,0.95,Mathematics,The query asks to solve a quadratic equation. This is a fundamental mathematical problem requiring straightforward calculation.,SIMPLE,True
gemma3:1b,Describe the process of photosynthesis.,SIMPLE,0.9,GENERAL,The query asks for a general explanation of photosynthesis. It doesn't require specialized knowledge or complex reasoning. It’s a straightforward factual question.,SIMPLE,True
gemma3:1b,What are the main causes of climate change?,SIMPLE,0.8,GENERAL,"The query asks about a broad topic like climate change, which is a general scientific issue. It doesn't require specialized knowledge or complex analysis.",COMPLEX,False
gemma3:1b,Explain the theory of relativity.,COMPLEX,0.9,TECHNICAL,"The query asks for a detailed explanation of a complex scientific theory, requiring specialized knowledge and a thorough understanding of physics and mathematics. It implies a need for nuanced explanations and potentially multiple steps to understand.",COMPLEX,True
gemma3:1b,How do vaccines work?,SIMPLE,0.95,GENERAL,"The query asks for a basic explanation of how vaccines work, which falls under the general knowledge domain.",COMPLEX,False
gemma3:1b,What is quantum computing?,SIMPLE,0.9,GENERAL,The query asks for a basic explanation of quantum computing. It doesn't require specialized knowledge or deep analysis.,COMPLEX,False
gemma3:1b,What are the legal implications of breach of contract?,COMPLEX,0.9,LAW,"The query asks for the legal implications of a breach of contract, which requires a deep understanding of legal principles and precedents. It implies analysis and potentially complex reasoning.",COMPLEX,True
gemma3:1b,Describe the process of cellular respiration.,SIMPLE,0.95,GENERAL,The query asks for a general explanation of cellular respiration. It doesn't require specialized knowledge or complex analysis. It’s a straightforward question about a fundamental biological process.,SIMPLE,True
gemma3:1b,What are the different types of machine learning algorithms?,SIMPLE,0.9,GENERAL,The query asks for a general overview of machine learning algorithms. It doesn't require specialized knowledge or deep analysis. It’s a straightforward question about fundamental concepts.,COMPLEX,False
gemma3:1b,Explain the significance of the Magna Carta in legal history.,COMPLEX,0.9,LAW,"The Magna Carta is a foundational document in legal history, establishing key principles of individual rights and limiting royal power. It’s a complex legal document with numerous clauses and interpretations, requiring a deep understanding of historical context and legal precedent. It’s not just a simple factual explanation; it’s a landmark case with far-reaching implications.",COMPLEX,True
gemma3:1b,How does blockchain technology function?,SIMPLE,0.9,GENERAL,"The query asks for a basic explanation of blockchain technology, which is a widely understood concept. It doesn't require deep technical analysis or specialized knowledge.",COMPLEX,False
gemma3:1b,What are the key principles of constitutional law?,SIMPLE,0.9,LAW,"The query asks for fundamental principles, which are generally straightforward and easily understandable. It doesn't require deep analysis or specialized knowledge.",COMPLEX,False
gemma3:1b,Describe the water cycle in nature.,SIMPLE,0.9,GENERAL,"The water cycle is a natural process involving evaporation, condensation, precipitation, and collection. It’s a fundamental concept in Earth science and is generally understood without requiring deep analysis. It’s a straightforward explanation of a well-established phenomenon.",SIMPLE,True
gemma3:1b,What are the main functions of the human brain?,SIMPLE,0.9,GENERAL,"The query asks for a general overview of brain functions, which is a broad topic. It doesn't require specialized knowledge or deep analysis.",COMPLEX,False
gemma3:1b,Explain the concept of supply and demand in economics.,SIMPLE,0.9,GENERAL,The query asks for a basic explanation of a fundamental economic concept. It doesn't require advanced analysis or specialized knowledge.,SIMPLE,True
gemma3:1b,What are the different types of renewable energy sources?,SIMPLE,0.8,GENERAL,The query asks for a general overview of renewable energy sources. It doesn't require specialized knowledge or complex analysis. It’s a straightforward question about different types.,SIMPLE,True
gemma3:1b,How does the immune system protect the body from pathogens?,SIMPLE,0.9,GENERAL,"The query asks about a fundamental biological process, which generally requires basic knowledge. It doesn't require specialized expertise or complex reasoning.",COMPLEX,False
gemma3:1b,What are the legal rights of tenants in rental agreements?,COMPLEX,0.9,LAW,"The query asks for specific legal rights and their application, requiring detailed legal knowledge and interpretation. It involves understanding complex legal frameworks and precedents.",COMPLEX,True
gemma3:1b,Describe the process of DNA replication.,COMPLEX,0.9,TECHNICAL,"The query asks for a detailed explanation of a complex biological process, requiring technical knowledge and a structured explanation. It’s not a simple factual question, but rather a request for a detailed procedure.",COMPLEX,True
gemma3:1b,What are the main components of a computer system?,SIMPLE,0.9,GENERAL,The query asks for a general overview of computer system components. It doesn't require specialized knowledge or deep analysis.,SIMPLE,True
gemma3:1b,Explain the principles of criminal law.,COMPLEX,0.9,LAW,"The query asks for a detailed explanation of criminal law, which requires a significant understanding of legal principles, statutes, and case law. It implies a need for in-depth analysis rather than simple factual recall.",COMPLEX,True
