query,GROUND_TRUTH,predicted_complexity,confidence,score,reason,is_correct
Name the largest planet in the solar system.,SIMPLE,SIMPLE,0.45,0.0,"['Planning task', 'Pure factual intent']",True
What is the capital of France?,SIMPLE,SIMPLE,0.21000000000000002,-3.0,"['Short factual query', 'Pure factual intent']",True
Who wrote Romeo and Juliet?,SIMPLE,SIMPLE,0.41000000000000003,-0.5,"['Multiple factual parts', 'Short factual query']",True
What is 15 multiplied by 4?,SIMPLE,SIMPLE,0.21000000000000002,-3.0,"['Short factual query', 'Pure factual intent']",True
What gas do plants absorb from the atmosphere?,SIMPLE,SIMPLE,0.61,2.0,['Planning task'],True
How many continents are there on Earth?,SIMPLE,SIMPLE,0.5700000000000001,1.5,['Single reasoning intent'],True
What is the boiling point of water in Celsius?,SIMPLE,SIMPLE,0.29000000000000004,-2.0,['Pure factual intent'],True
Who was the first President of the United States?,SIMPLE,SIMPLE,0.45,0.0,[],True
What is the chemical symbol for gold?,SIMPLE,SIMPLE,0.21000000000000002,-3.0,"['Short factual query', 'Pure factual intent']",True
Which ocean is the largest?,SIMPLE,SIMPLE,0.37,-1.0,['Short factual query'],True
What is the square root of 64?,SIMPLE,SIMPLE,0.21000000000000002,-3.0,"['Short factual query', 'Pure factual intent']",True
What color do you get by mixing red and white?,SIMPLE,SIMPLE,0.49,0.5,['Multiple factual parts'],True
How many days are there in a leap year?,SIMPLE,SIMPLE,0.5700000000000001,1.5,['Single reasoning intent'],True
What planet is known as the Red Planet?,SIMPLE,SIMPLE,0.61,2.0,['Planning task'],True
What is the freezing point of water in Celsius?,SIMPLE,SIMPLE,0.29000000000000004,-2.0,['Pure factual intent'],True
Who painted the Mona Lisa?,SIMPLE,SIMPLE,0.37,-1.0,['Short factual query'],True
What is the tallest land animal?,SIMPLE,SIMPLE,0.21000000000000002,-3.0,"['Short factual query', 'Pure factual intent']",True
Which language is primarily spoken in Brazil?,SIMPLE,SIMPLE,0.37,-1.0,['Short factual query'],True
What is the currency of Japan?,SIMPLE,SIMPLE,0.21000000000000002,-3.0,"['Short factual query', 'Pure factual intent']",True
How many sides does a triangle have?,SIMPLE,SIMPLE,0.5700000000000001,1.5,['Single reasoning intent'],True
What is the process by which plants make food?,SIMPLE,SIMPLE,0.45,0.0,"['Planning task', 'Pure factual intent']",True
What is the largest mammal on Earth?,SIMPLE,SIMPLE,0.21000000000000002,-3.0,"['Short factual query', 'Pure factual intent']",True
Who discovered gravity?,SIMPLE,SIMPLE,0.37,-1.0,['Short factual query'],True
What is the capital of Canada?,SIMPLE,SIMPLE,0.21000000000000002,-3.0,"['Short factual query', 'Pure factual intent']",True
What instrument is used to measure temperature?,SIMPLE,SIMPLE,0.37,-1.0,['Short factual query'],True
Explain how photosynthesis works in plants and analyze why it is essential for sustaining life on Earth.,COMPLEX,COMPLEX,0.95,9.0,"['Long query', 'High character length', 'Multiple reasoning intents', 'Planning task', 'Multi-part reasoning']",True
Analyze the main causes of climate change and explain their effects on global ecosystems and biodiversity.,COMPLEX,COMPLEX,0.95,7.0,"['Long query', 'High character length', 'Multiple reasoning intents', 'Multi-part reasoning']",True
Compare and contrast democracy and authoritarian forms of government by analyzing their structures and outcomes.,COMPLEX,COMPLEX,0.87,4.5,"['Long query', 'High character length', 'Comparison task', 'Multiple factual parts']",True
Explain how blockchain technology works and evaluate its real-world applications across different industries.,COMPLEX,COMPLEX,0.95,7.0,"['High character length', 'Multiple reasoning intents', 'Multi-part reasoning', 'Math or logical symbols']",True
Evaluate the impact of artificial intelligence on future job markets and workforce skill requirements.,COMPLEX,COMPLEX,0.9299999999999999,6.0,"['High character length', 'Multiple reasoning intents', 'Multi-part reasoning']",True
Explain the theory of relativity and analyze its significance in modern physics and scientific research.,COMPLEX,COMPLEX,0.92,5.5,"['Long query', 'High character length', 'Single reasoning intent', 'Multi-part reasoning']",True
Discuss the ethical implications of genetic engineering in humans and evaluate potential societal risks.,COMPLEX,COMPLEX,0.87,4.5,"['High character length', 'Single reasoning intent', 'Multi-part reasoning']",True
Analyze the causes of World War I and explain their long-term political and economic consequences.,COMPLEX,COMPLEX,0.95,6.5,"['Long query', 'High character length', 'Single reasoning intent', 'Multi-part reasoning', 'Math or logical symbols']",True
Explain how machine learning models are trained and evaluated and why data quality affects their performance.,COMPLEX,COMPLEX,0.95,7.0,"['Long query', 'High character length', 'Multiple reasoning intents', 'Multi-part reasoning']",True
Describe the process of natural selection and analyze real-world examples that demonstrate evolutionary change.,COMPLEX,COMPLEX,0.92,5.5,"['High character length', 'Single reasoning intent', 'Multi-part reasoning', 'Math or logical symbols']",True
"Compare renewable and non-renewable energy sources in terms of sustainability, cost, and environmental impact.",COMPLEX,COMPLEX,0.95,7.5,"['High character length', 'Single reasoning intent', 'Comparison task', 'Multi-part reasoning', 'Math or logical symbols']",True
Explain the role of the United Nations in maintaining global peace and resolving international conflicts.,COMPLEX,COMPLEX,0.79,2.5,"['Long query', 'High character length', 'Multiple factual parts']",True
Discuss the economic causes of inflation and analyze how governments attempt to control it.,COMPLEX,COMPLEX,0.9299999999999999,6.0,"['High character length', 'Multiple reasoning intents', 'Multi-part reasoning']",True
Analyze the advantages and disadvantages of remote work and its impact on productivity and work-life balance.,COMPLEX,COMPLEX,0.95,10.0,"['Long query', 'High character length', 'Multiple reasoning intents', 'Comparison task', 'Multi-part reasoning', 'Math or logical symbols']",True
Explain how the human immune system responds to viral infections and why immune memory is important.,COMPLEX,COMPLEX,0.95,7.0,"['Long query', 'High character length', 'Multiple reasoning intents', 'Multi-part reasoning']",True
Describe the architecture of a modern operating system and explain how its components interact.,COMPLEX,COMPLEX,0.85,4.5,"['High character length', 'Single reasoning intent', 'Multi-part reasoning']",True
Evaluate the social impact of social media on mental health and analyze contributing psychological factors.,COMPLEX,COMPLEX,0.95,7.0,"['Long query', 'High character length', 'Multiple reasoning intents', 'Multi-part reasoning']",True
