model,query,predicted_complexity,confidence,domain,reason,ground_truth_complexity,is_correct
qwen2.5:1.5b-instruct,What is the capital of France?,SIMPLE,1.0,GENERAL,"The user is asking for basic factual knowledge about a country's capital, which can be easily found through simple research.",SIMPLE,True
qwen2.5:1.5b-instruct,Explain ship classification and statutory regulation,COMPLEX,0.95,TECHNICAL,"The user is asking for an explanation of ship classification and statutory regulation, which involves complex knowledge in maritime law and regulations.",COMPLEX,True
qwen2.5:1.5b-instruct,How does compound interest work?,SIMPLE,0.9,FINANCE,"The user is asking about a basic financial concept, specifically how compound interest works.",SIMPLE,True
qwen2.5:1.5b-instruct,What are the symptoms of diabetes?,SIMPLE,0.9,MEDICAL,"The user is asking about a medical condition, specifically symptoms of diabetes.",SIMPLE,True
qwen2.5:1.5b-instruct,Solve the equation x^2 - 4x + 4 = 0,SIMPLE,1.0,MATHEMATICS,The user is asking for a simple solution to an algebraic equation.,SIMPLE,True
qwen2.5:1.5b-instruct,Describe the process of photosynthesis.,COMPLEX,0.95,TECHNICAL,"The user is asking for a detailed explanation of the process of photosynthesis, which requires analysis and understanding of biological processes.",SIMPLE,False
qwen2.5:1.5b-instruct,What are the main causes of climate change?,COMPLEX,0.95,GENERAL,"The user is asking for a broad overview of the primary factors contributing to climate change, which requires an analysis and understanding of multiple scientific concepts.",COMPLEX,True
qwen2.5:1.5b-instruct,Explain the theory of relativity.,COMPLEX,0.95,TECHNICAL,"The user is asking for a detailed explanation of the theory of relativity, which requires analysis and understanding of advanced physics concepts.",COMPLEX,True
qwen2.5:1.5b-instruct,How do vaccines work?,SIMPLE,0.9,OTHER,"The user is asking about a basic factual question related to vaccination, which does not require deep analysis or specialized knowledge.",COMPLEX,False
qwen2.5:1.5b-instruct,What is quantum computing?,SIMPLE,0.9,TECHNICAL,"The user is asking about a basic concept in computer science, specifically quantum computing.",COMPLEX,False
qwen2.5:1.5b-instruct,What are the legal implications of breach of contract?,COMPLEX,0.95,LAW,"The user is asking about a specific legal issue (breach of contract) and seeking to understand the potential consequences, which requires analysis and understanding of legal principles.",COMPLEX,True
qwen2.5:1.5b-instruct,Describe the process of cellular respiration.,COMPLEX,0.95,TECHNICAL,"The user is asking for a detailed explanation of cellular respiration, which requires understanding of biochemical processes and energy conversion mechanisms.",SIMPLE,False
qwen2.5:1.5b-instruct,What are the different types of machine learning algorithms?,SIMPLE,0.9,TECHNICAL,"The user is asking for a basic understanding of machine learning algorithms, which requires simple factual knowledge.",COMPLEX,False
qwen2.5:1.5b-instruct,Explain the significance of the Magna Carta in legal history.,COMPLEX,0.9,LAW,"The user is asking for a detailed explanation of the historical and legal significance of the Magna Carta, which requires analysis of its impact on modern law and society.",COMPLEX,True
qwen2.5:1.5b-instruct,How does blockchain technology function?,SIMPLE,0.9,TECHNICAL,"The user is asking about a basic understanding of how blockchain technology works, which requires only simple factual knowledge.",COMPLEX,False
qwen2.5:1.5b-instruct,What are the key principles of constitutional law?,SIMPLE,0.9,LAW,"The user is asking about fundamental concepts in constitutional law, which requires basic factual knowledge.",COMPLEX,False
qwen2.5:1.5b-instruct,Describe the water cycle in nature.,SIMPLE,0.95,GENERAL,"The user is asking for a basic explanation of the water cycle, which involves natural processes without requiring deep analysis or specialized knowledge.",SIMPLE,True
qwen2.5:1.5b-instruct,What are the main functions of the human brain?,SIMPLE,0.9,GENERAL,"The user is asking about basic knowledge related to anatomy and physiology, which does not require deep analysis or specialized technical information.",COMPLEX,False
qwen2.5:1.5b-instruct,Explain the concept of supply and demand in economics.,SIMPLE,0.9,ECONOMICS,The user is asking for an explanation of the basic economic principle known as 'supply and demand'. This concept involves understanding how supply (the amount available to be sold) and demand (what consumers want to buy) interact in a market to determine prices.,SIMPLE,True
qwen2.5:1.5b-instruct,What are the different types of renewable energy sources?,SIMPLE,0.95,GENERAL,"The user is asking about a general topic related to renewable energy, which does not require deep analysis or specialized knowledge.",SIMPLE,True
qwen2.5:1.5b-instruct,How does the immune system protect the body from pathogens?,SIMPLE,0.9,GENERAL,"The user is asking about a basic understanding of how the immune system works, which involves simple biological processes and does not require deep analysis or specialized knowledge.",COMPLEX,False
qwen2.5:1.5b-instruct,What are the legal rights of tenants in rental agreements?,SIMPLE,0.9,LAW,The user is asking about basic factual knowledge regarding tenant's rights under rental agreements.,COMPLEX,False
qwen2.5:1.5b-instruct,Describe the process of DNA replication.,COMPLEX,0.95,TECHNICAL,"The user is asking for a detailed explanation of the biological process of DNA replication, which requires understanding of molecular biology and genetics.",COMPLEX,True
qwen2.5:1.5b-instruct,What are the main components of a computer system?,SIMPLE,0.9,TECHNICAL,The user is asking for basic factual knowledge about the components of a computer system.,SIMPLE,True
qwen2.5:1.5b-instruct,Explain the principles of criminal law.,COMPLEX,0.95,LAW,"The user is asking for an explanation of the fundamental concepts and theories in criminal law, which requires a detailed analysis and understanding of legal principles.",COMPLEX,True
qwen2.5:1.5b-instruct,What are the effects of global warming on ecosystems?,COMPLEX,0.95,GENERAL,"The user is asking about a broad topic related to environmental science, which requires analysis and understanding of multiple factors such as climate change impacts on various ecosystems.",COMPLEX,True
qwen2.5:1.5b-instruct,How does the nervous system transmit signals?,COMPLEX,0.95,TECHNICAL,"The user is asking about a biological process involving complex neural signaling, which requires detailed knowledge of anatomy and physiology.",COMPLEX,True
qwen2.5:1.5b-instruct,What are the different types of financial markets?,COMPLEX,0.95,FINANCE,"The user is asking about a broad topic that requires analysis and understanding of various market structures, which indicates a high level of complexity.",SIMPLE,False
qwen2.5:1.5b-instruct,Explain the concept of intellectual property law.,SIMPLE,0.95,LAW,"The user is asking for a basic explanation of intellectual property law, which involves understanding key concepts such as copyright, trademarks, patents, and trade secrets.",COMPLEX,False
qwen2.5:1.5b-instruct,Describe the process of mitosis in cell division.,COMPLEX,0.9,TECHNICAL,"The user is asking for a detailed explanation of the process of mitosis, which requires analysis and understanding of biological processes rather than basic factual knowledge.",COMPLEX,True
qwen2.5:1.5b-instruct,Explain the bulking stress and what's its inpact on the heavy materials.,COMPLEX,0.95,TECHNICAL,"The user is asking about a specific type of stress (bulking stress) and its impact on heavy materials, which requires an analysis or deep understanding of the topic.",COMPLEX,True
qwen2.5:1.5b-instruct,What is Newton's first law of motion?,SIMPLE,0.95,TECHNICAL,"The user is asking for a basic factual question about physics, which requires simple reasoning and knowledge.",SIMPLE,True
qwen2.5:1.5b-instruct,How does a combustion engine work?,SIMPLE,0.9,TECHNICAL,"The user is asking about the basic working principle of a combustion engine, which involves simple physics and mechanics without requiring deep analysis or specialized knowledge.",COMPLEX,False
qwen2.5:1.5b-instruct,What is the difference between speed and velocity?,SIMPLE,0.9,GENERAL,"The user is asking about basic factual knowledge related to physics, which requires simple reasoning without deep analysis.",SIMPLE,True
qwen2.5:1.5b-instruct,Explain the working principle of a nuclear reactor.,COMPLEX,0.95,TECHNICAL,"The user is asking for an explanation of how a nuclear reactor works, which requires understanding complex physics and engineering principles related to nuclear energy.",COMPLEX,True
qwen2.5:1.5b-instruct,What are the basic units of measurement in SI system?,SIMPLE,0.95,TECHNICAL,"The user is asking about a fundamental concept related to the International System of Units (SI), which requires basic factual knowledge.",SIMPLE,True
qwen2.5:1.5b-instruct,How does machine learning differ from traditional programming?,COMPLEX,0.95,TECHNICAL,The user is asking about a fundamental difference between two distinct fields of computer science: machine learning and traditional programming.,COMPLEX,True
qwen2.5:1.5b-instruct,What is photosynthesis used for in plants?,SIMPLE,0.9,GENERAL,The user is asking about a basic biological process that has a straightforward answer.,SIMPLE,True
qwen2.5:1.5b-instruct,Explain stress-strain behavior of ductile materials.,COMPLEX,0.95,TECHNICAL,"The user is asking for a detailed explanation regarding the mechanical properties and behavior of ductile materials under stress, which requires analysis and understanding of material science principles.",COMPLEX,True
qwen2.5:1.5b-instruct,What is the purpose of an operating system?,SIMPLE,0.9,TECHNICAL,"The user is asking for a basic understanding of what an operating system does, which requires simple factual knowledge.",SIMPLE,True
qwen2.5:1.5b-instruct,How does finite element analysis help in structural design?,COMPLEX,0.95,TECHNICAL,"The user is asking about a specific application of finite element analysis (FEA) in structural design, which requires understanding both the concept and practical applications.",COMPLEX,True
qwen2.5:1.5b-instruct,What are the properties of an ideal gas?,COMPLEX,0.95,TECHNICAL,"The user is asking about a fundamental concept in physics, which requires analysis and understanding of thermodynamics principles.",SIMPLE,False
qwen2.5:1.5b-instruct,Explain the difference between AC and DC power transmission.,COMPLEX,0.95,TECHNICAL,"The user is asking for a detailed explanation of the fundamental differences between Alternating Current (AC) and Direct Current (DC) power transmission, which requires analysis of electrical principles.",SIMPLE,False
qwen2.5:1.5b-instruct,How does corrosion affect marine structures?,COMPLEX,0.95,TECHNICAL,"The user is asking about a specific, technical issue related to the durability of marine structures.",COMPLEX,True
qwen2.5:1.5b-instruct,What is the function of red blood cells?,SIMPLE,0.95,MEDICAL,The user is asking about a basic factual knowledge related to human anatomy and physiology.,SIMPLE,True
qwen2.5:1.5b-instruct,Explain the concept of entropy in thermodynamics.,COMPLEX,0.95,TECHNICAL,"The user is asking for a detailed explanation of a complex scientific concept, specifically the concept of entropy in thermodynamics. This requires an understanding of statistical mechanics and thermodynamic principles, which are typically studied at advanced levels.",COMPLEX,True
qwen2.5:1.5b-instruct,What are renewable and non-renewable resources?,SIMPLE,0.9,GENERAL,The user is asking about a basic factual question related to the definition of renewable and non-renewable resources.,SIMPLE,True
qwen2.5:1.5b-instruct,How do tides affect ship operations?,SIMPLE,0.9,GENERAL,"The user is asking about a general topic related to the impact of tides on maritime activities, which does not require deep analysis or specialized knowledge.",COMPLEX,False
qwen2.5:1.5b-instruct,What is the role of classification societies in maritime safety?,SIMPLE,0.95,TECHNICAL,"The user is asking about a specific function or purpose related to maritime safety, which requires basic factual knowledge and does not involve deep reasoning.",COMPLEX,False
qwen2.5:1.5b-instruct,Explain fatigue failure and its significance in engineering design.,COMPLEX,0.9,TECHNICAL,"The user is asking for an explanation of a specific technical concept (fatigue failure) and its importance in engineering design, which requires analysis and understanding of the underlying principles.",COMPLEX,True
